MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
338145264,2024-01-01T00:00:40,46.00901,-122.84828,0.7,121,511,RESTITUTION,IMO0000000,WN6589J,37,,15,6,,,B
368084710,2024-01-01T00:00:41,42.3938,-71.07069,2.9,201.4,511,ENCORE V,IMO0000000,ENCORE,60,,12,4,,,B
338330478,2024-01-01T00:00:42,32.77544,-79.9489,0,360,511,HIGH ON THE DAWGS,IMO0000000,,37,,20,6,,,B
368214360,2024-01-01T00:00:46,30.36561,-89.08743,0,104.3,167,GREAT ESCAPES,IMO0000000,WDM5280,37,,14,6,,,B
367527930,2024-01-01T00:00:16,29.17883,-89.25833,0,188.5,241,SAMUEL A CHURCH,,WDG3619,50,15,17,3,0,50,A
338367878,2024-01-01T00:00:50,29.54573,-95.06661,0,151.9,511,GINGERLY,IMO0000000,,37,,15,4,,,B
367626440,2024-01-01T00:00:53,30.677,-81.46827,0,282.5,511,SAL Y LUZ,IMO9909687,WDH5290,36,,13,4,,,B
338380052,2024-01-01T00:00:11,26.12299,-80.10741,0,295.2,511,LEGACY,IMO0000000,,36,,14,7,,,B
338051706,2024-01-01T00:00:14,25.73151,-80.23031,0,360,511,FOUR SEA SONS III,IMO0000000,,37,,16,6,,,B
338328004,2024-01-01T00:00:16,32.02381,-81.04691,0,360,336,MIMI,IMO0000000,,36,,13,8,,,B
347016450,2024-01-01T00:00:23,33.34611,-118.32404,0.1,171.5,511,DO NOTHIN',IMO0000000,,36,,10,5,,,B
367323780,2024-01-01T00:00:16,29.34924,-90.24731,0,154.4,511,MR COLBY,IMO8694575,WDE2343,70,0,21,16,2.5,70,A
367121010,2024-01-01T00:00:08,46.34562,-84.21349,7,181.6,181,AMERICAN CENTURY,IMO7923196,WDD2876,70,0,305,32,7.5,1,A
565475000,2024-01-01T00:00:04,36.80716,-75.71109,7.1,94.2,93,MAERSK NEWHAVEN,IMO9215880,9VPY4,71,0,209,30,8.4,71,A
255803480,2024-01-01T00:00:09,23.75008,-81.77117,10.6,263,264,MSC RIDA,IMO9393307,CQRD,70,0,340,46,11.6,70,A
366875000,2024-01-01T00:00:03,29.96915,-90.26,0,280.9,272,CAPT HAGEN,IMO9329320,WDG9741,52,1,172,24,8.4,57,A
366897080,2024-01-01T00:00:06,41.88932,-87.62269,0.1,0.9,511,BRIGHT STAR,,WDB4311,60,0,30,7,1.2,6,A
367343430,2024-01-01T00:00:03,29.75894,-95.10025,0,360,511,MICHAEL P O'NEIL,IMO100553040,WDE3732,31,0,18,7,2.2,31,A
368044430,2024-01-01T00:00:05,29.99381,-93.91047,0,359,45,CORYELL,,WDK3354,52,12,116,34,2.7,57,A
367002130,2024-01-01T00:00:01,29.99551,-92.79029,0,281.5,511,MISS PAMELA,,WDC3060,52,0,22,8,2.6,52,A
368261120,2024-01-01T00:00:04,30.15351,-91.00042,8.3,350.9,348,VIKING MISSISSIPPI,,WDN2333,65,0,137,23,2.8,65,A
366973450,2024-01-01T00:00:03,30.08126,-93.32764,0,209,511,CAPT LEROY DEVALL,,WYU9878,52,0,18,8,2.4,52,A
367579120,2024-01-01T00:00:07,29.32332,-94.78256,0,315.4,511,TERRY FONTENOT,IMO100566405,WDG8590,31,0,80,14,2.7,57,A
367519170,2024-01-01T00:00:00,40.09958,-74.84156,7.1,226.2,239,PATRICIA,,WDG2778,52,0,25,3,0,52,A
367762920,2024-01-01T00:00:08,30.04461,-90.60423,0,360,511,GEORGIA,,WDJ2914,33,0,20,10,0,33,A
367431550,2024-01-01T00:00:07,30.02252,-93.98502,0,67.5,511,CLELAND POWELL,,WDF2757,52,0,22,10,2.9,57,A
368287020,2024-01-01T00:00:14,26.12896,-80.07611,0,325,354,TURQUOISE COAST,IMO9053141,WDN5097,52,1,175,24,7.9,52,A
367548970,2024-01-01T00:00:08,47.67986,-122.40794,0,223.6,511,DOOZY,IMO0000000,WDG5665,37,,14,4,,,B
367384780,2024-01-01T00:00:09,45.58739,-122.77053,0,34.3,143,CAROLYN DOROTHY,IMO9552288,WDE6786,52,0,23,10,0,52,A
367153580,2024-01-01T00:00:09,27.58967,-83.52752,9.2,91,85,LA FORCE,IMO7326312,WDD5092,52,0,156,20,5.3,57,A
368926317,2024-01-01T00:00:23,36.9183,-76.18218,0,228.9,95,USNS NEWPORT,IMO9851098,NNPT,35,5,103,29,3.5,35,A
367057510,2024-01-01T00:00:02,29.94004,-90.17848,0,357,317,LARRY Y STRAIN,,WDC6526,52,12,46,16,2.8,52,A
367423730,2024-01-01T00:00:02,30.03934,-93.33433,0,229.6,511,CATHERINE C MORAN,IMO9415791,WDE9999,52,0,30,12,4.8,52,A
477518800,2024-01-01T00:00:29,49.29908,-123.24282,0,198.2,88,KSL SANTOS,IMO9719939,VRNS9,70,1,292,45,17.5,70,A
367672550,2024-01-01T00:00:00,28.95081,-92.8265,18.5,325,331,MR J O,IMO8998174,WDH9885,40,0,51,9,2,40,A
367652650,2024-01-01T00:01:05,33.40225,-118.3119,17.2,17.3,511,TWO HARBORS,,WDH7890,60,0,24,6,0,60,A
311001223,2024-01-01T00:00:00,25.21743,-79.80077,17.5,160.6,162,CARNIVAL CELEBRATION,IMO9837456,C6GE4,69,0,345,42,8.5,69,A
368285250,2024-01-01T00:00:13,33.7193,-118.27843,0,170.1,13,MIXED NUTZ,IMO0000000,WDN4905,37,,17,5,,,B
316046639,2024-01-01T00:00:22,49.31347,-123.09013,0,360,511,SEOMRA,IMO0000000,CFA3437,37,,0,0,,,B
565475000,2024-01-01T00:01:05,36.80701,-75.70856,7,94,92,MAERSK NEWHAVEN,IMO9215880,9VPY4,71,0,209,30,8.4,71,A
367575550,2024-01-01T00:00:29,41.88799,-87.61302,0,315,511,FRED A BUSSE,IMO0000000,WDN5785,60,,26,8,,,B
338180566,2024-01-01T00:00:04,39.26465,-76.20227,0,327.9,511,TARAMISU,IMO0000000,,37,,16,8,,,B
368123740,2024-01-01T00:00:10,40.76219,-74.00397,0,360,511,HORIZON'S EDGE,IMO1091911,WDL3652,99,15,57,32,0,99,A
338477075,2024-01-01T00:00:04,34.24625,-119.26515,0,360,511,P.MARIE,IMO0000000,P.MARIE,36,,10,3,,,B
